district,Kode Wilayah,,,regency_code,code
2 x 11 Enam Lingkuang,13,05,04,1305,130504
2 x 11 Kayu Tanam,13,05,15,1305,130515
Abab,16,12,04,1612,161204
Abad Selatan,53,05,18,5305,530518
Abang,51,07,05,5107,510705
Abeli,74,71,06,7471,747106
Abenaho,95,06,03,9506,950603
Abepura,91,71,03,9171,917103
Abiansemal,51,03,03,5103,510303
Aboy,95,02,08,9502,950208
Abuki,74,02,10,7402,740210
Abun,92,09,06,9209,920906
Abung Barat,18,03,06,1803,180306
Abung Kunang,18,03,22,1803,180322
Abung Pekurun,18,03,19,1803,180319
Abung Selatan,18,03,07,1803,180307
Abung Semuli,18,03,13,1803,180313
Abung Surakarta,18,03,14,1803,180314
Abung Tengah,18,03,11,1803,180311
Abung Timur,18,03,05,1803,180305
Abung Tinggi,18,03,12,1803,180312
Adian Koting,12,02,03,1202,120203
Adiluwih (Adi Luwih),18,10,07,1810,181007
Adimulyo,33,05,15,3305,330515
Adipala,33,01,03,3301,330103
Adiwerna,33,28,11,3328,332811
Adonara,53,06,17,5306,530617
Adonara Barat,53,06,08,5306,530608
Adonara Tengah,53,06,18,5306,530618
Adonara Timur,53,06,10,5306,530610
Aek Bilah,12,03,22,1203,120322
Aek Kuasan,12,09,18,1209,120918
Aek Kuo,12,23,04,1223,122304
Aek Ledong,12,09,32,1209,120932
Aek Nabara Barumun,12,21,11,1221,122111
Aek Natas,12,23,07,1223,122307
Aek Songsongan,12,09,21,1209,120921
Aere,74,11,10,7411,741110
Aertembaga (Bitung Timur),71,72,04,7172,717204
Aesesa,53,16,01,5316,531601
Aesesa Selatan,53,16,07,5316,531607
Afulu,12,24,09,1224,122409
Agandugume,94,05,07,9405,940507
Agats,93,04,01,9304,930401
Agimuga,94,04,02,9404,940402
Agisiga,94,07,05,9407,940705
Agrabinta,32,03,22,3203,320322
Aifat,92,10,01,9210,921001
Aifat Selatan,92,10,04,9210,921004
Aifat Timur,92,10,03,9210,921003
Aifat Timur Jauh,92,10,13,9210,921013
Aifat Timur Selatan,92,10,14,9210,921014
Aifat Timur Tengah,92,10,12,9210,921012
Aifat Utara,92,10,02,9210,921002
Aikmel,52,03,09,5203,520309
Aimando Padaido,91,06,19,9106,910619
Aimas,92,01,07,9201,920107
Aimere,53,09,01,5309,530901
Air Batu,12,09,13,1209,120913
Air Besar,61,08,05,6108,610805
Air Besi,17,03,15,1703,170315
Air Buaya (Airbuaya),81,04,02,8104,810402
Air Dikit,17,06,14,1706,170614
Air Hangat,15,01,05,1501,150105
Air Hangat Barat,15,01,21,1501,150121
Air Hangat Timur,15,01,11,1501,150111
Air Hitam,15,03,07,1503,150307
Air Hitam,18,04,19,1804,180419
Air Joman,12,09,09,1209,120909
Air Kumbang,16,07,19,1607,160719
Air Majunto,17,06,13,1706,170613
Air Naningan,18,06,26,1806,180626
Air Napal,17,03,16,1703,170316
Air Nipis,17,01,08,1701,170108
Air Padang,17,03,20,1703,170320
Air Periukan,17,05,06,1705,170506
Air Putih,12,19,03,1219,121903
Air Rami,17,06,07,1706,170607
Air Salek,16,07,14,1607,160714
Air Sugihan,16,02,14,1602,160214
Air Upas,61,04,21,6104,610421
Airgaram,95,04,28,9504,950428
Airgegas (Air Gegas),19,03,03,1903,190303
Airmadidi,71,06,03,7106,710603
Airpura,13,01,13,1301,130113
Airu,91,03,16,9103,910316
Aitinyo,92,10,06,9210,921006
Aitinyo Barat,92,10,05,9210,921005
Aitinyo Raya,92,10,23,9210,921023
Aitinyo Tengah,92,10,22,9210,921022
Aitinyo Utara,92,10,07,9210,921007
Ajangale,73,08,18,7308,730818
Ajibarang,33,02,14,3302,330214
Ajibata,12,12,08,1212,121208
Ajung,35,09,17,3509,350917
